,Train RMSE,Test RMSE
Random Forest,0.2294751857636848,0.5618713923474495
LightGBM,0.4762532323611861,0.5993853181558162
XGBoost,0.2793528627419299,0.6035637944327998
Gradient Boosting,0.6397485454363517,0.6428469227365402
MLP,0.6166114598526737,0.6502957244184918
AdaBoost,0.7139171638225494,0.6772279569590365
KNN,0.56901590779946,0.6806331893623307
